legacy_type,legacy_shade,products,bare,full,forms
TSAV,,12,0.417,0.0,TSA CUS 50%; TAN 6X4 MM 25%; TAN 5X4 25%
TSAV,A,3654,0.101,0.0,L.TSA 35%; TSA 12%; LTSA 10%
TSAV,AA,1152,0.36,0.0,TSA 28%; TSAA 17%; TSA2A 14%
TSAV,AAA,238,0.248,0.0,TSA3A 27%; TSA 12%; TSAAA 11%
TSAV,AAAA,2,0.5,0.0,
TU,,92,0.043,0.0,TURQ 14%; TURQUOISE 14%; REAL TURQ 12%
TU,BL,3,0.0,0.0,
TU,C,1,0.0,0.0,REAL TURQ 100%
TU,GO,1,0.0,0.0,GOLD_RUTIL 100%
TU,GR,2,0.5,0.0,
TURQ,,93,0.742,0.0,TURQ 34%; TURQUOISE 17%; TURQ SMOOTH 7%
TURQ,BL,88,0.648,0.0,TUR 33%; TURQUOISE 33%; AM + TUR 33%
TURQ,GR,46,0.63,0.0,TU 50%; GRTURQ 50%
TURQ,LBL,4,1.0,0.0,
TURQ,RCT,52,0.212,0.0,GR_TU_TRIP 40%; GR.TU TRIP 20%; GR_TU_TRI 20%
TURQ,REC,105,0.419,0.0,TURQ RECON 15%; TURQ_RECON 12%; TURQ REC 12%
WD,,161,0.404,0.0,WOOD 34%; WD 15%; G.Q CAB + WD 6%
WD,BK,1,0.0,0.0,B.WOOD 100%
WQA,,359,0.318,0.0,W.Q 23%; WQ 13%; WQ_BRI 5%
WQA,A,3,1.0,0.0,
WQA,ML,21,0.19,0.0,W.Q 100%
WT,,279,0.036,0.0,W.TOP 41%; W.TP 10%; W.TOPAZ 7%
ZC,WH,2,0.0,0.0,ZIR + TT 100%
